meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1239,9550,2024-06-30 14:18:35+00:00,18.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:18:35
1239,9550,2024-06-30 14:18:41+00:00,23.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:40
1239,9550,2024-06-30 14:18:41+00:00,2.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:18:40
1239,9550,2024-06-30 14:18:58+00:00,22.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:18:57
1239,9550,2024-06-30 14:19:00+00:00,,65,Other,,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) UNDER INVESTIGATION - CAUSING A COLLISION
1239,9550,2024-06-30 14:20:05+00:00,23.0,65,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:20:05
1239,9550,2024-06-30 14:20:15+00:00,18.0,66,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:20:14
1239,9550,2024-06-30 14:20:22+00:00,,66,Other,,,,,PIT LANE ENTRY CLOSED
1239,9550,2024-06-30 14:20:23+00:00,,66,SafetyCar,,,,,VIRTUAL SAFETY CAR DEPLOYED
1239,9550,2024-06-30 14:21:07+00:00,,66,Other,,,,,PIT LANE ENTRY OPEN
1239,9550,2024-06-30 14:21:09+00:00,,66,SafetyCar,,,,,VIRTUAL SAFETY CAR ENDING
1239,9550,2024-06-30 14:21:21+00:00,,66,Flag,CLEAR,Track,,,TRACK CLEAR
1239,9550,2024-06-30 14:21:22+00:00,23.0,66,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:21:22
1239,9550,2024-06-30 14:21:22+00:00,,66,Drs,,,,,DRS ENABLED
1239,9550,2024-06-30 14:21:30+00:00,18.0,66,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:21:29
1239,9550,2024-06-30 14:22:01+00:00,,67,Other,,,,,CAR 4 (NOR) TIME 2:00.257 DELETED - TRACK LIMITS AT TURN 3 LAP 64 16:17:59
1239,9550,2024-06-30 14:22:23+00:00,,67,Other,,,,,CAR 1 (VER) TIME 1:10.412 DELETED - TRACK LIMITS AT TURN 3 LAP 63 16:16:46
1239,9550,2024-06-30 14:22:36+00:00,14.0,67,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:22:36
1239,9550,2024-06-30 14:22:46+00:00,18.0,68,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:22:46
1239,9550,2024-06-30 14:22:50+00:00,,68,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 1 (VER) - CAUSING A COLLISION
1239,9550,2024-06-30 14:23:20+00:00,18.0,68,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:23:20
1239,9550,2024-06-30 14:24:48+00:00,2.0,69,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:24:48
1239,9550,2024-06-30 14:25:05+00:00,2.0,69,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:25:04
1239,9550,2024-06-30 14:26:03+00:00,2.0,70,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:26:02
1239,9550,2024-06-30 14:26:21+00:00,,71,Other,,,,,CAR 81 (PIA) TIME 1:09.989 DELETED - TRACK LIMITS AT TURN 1 LAP 70 16:25:15
1239,9550,2024-06-30 14:27:25+00:00,,71,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1239,9550,2024-06-30 14:27:25.168000+00:00,,71,SessionStatus,,,,,SESSION FINISHED
